id,inscritos,votantes,brancos,nulos,validos,0,1,2,3,4,5,6,7,8,9
110400,"12,371","6,156",76,50,"6,030",51,"1,374",15,146,9,185,515,284,"3,381",70
110500,"174,568","92,341","1,098",661,"90,582",895,"19,797",107,"2,357",155,"1,205","7,097","2,905","53,679","2,385"
110600,"495,867","277,529","3,750","2,456","271,323","4,203","72,891",349,"8,965",500,"4,432","25,541","11,088","136,764","6,590"
110700,"165,587","90,660","1,094",961,"88,605",687,"24,006",198,"5,817",250,"2,237","9,386","5,426","38,791","1,807"
110800,"23,025","11,521",139,153,"11,229",88,"1,785",25,170,13,298,970,390,"7,287",203
110900,"61,877","33,864",503,310,"33,051",284,"6,560",59,739,75,979,"3,553","1,344","18,565",893
111000,"145,219","84,256","1,134",685,"82,437",988,"22,405",80,"2,446",140,"1,323","7,179","2,843","42,556","2,477"
111100,"306,878","150,818","1,892","1,533","147,393","1,029","37,269",213,"5,486",331,"3,635","16,301","6,937","72,910","3,282"
111200,"8,166","4,297",43,32,"4,222",35,991,9,366,10,126,459,194,"1,958",74
111300,"67,352","35,441",492,353,"34,596",309,"7,371",57,"1,205",63,"1,000","3,212","1,563","18,992",824
111400,"110,814","60,140",716,573,"58,851",403,"16,368",92,"4,503",144,"1,639","7,567","2,975","23,833","1,327"
111500,"143,471","74,602",855,795,"72,952",573,"21,276",117,"3,449",168,"1,529","8,036","3,906","32,373","1,525"
111600,"123,555","64,927",758,719,"63,450",444,"17,187",120,"2,403",129,"1,705","6,414","3,083","30,528","1,437"
120100,"2,887","1,529",15,13,"1,501",12,485,3,117,4,32,134,49,643,22
120200,"2,657","1,348",23,10,"1,315",15,385,8,54,3,25,90,51,670,14
120300,"3,692","2,208",32,20,"2,156",12,585,5,675,4,51,173,66,573,12
120400,"7,374","3,535",39,33,"3,463",6,"1,356",6,358,9,54,424,145,"1,067",38
120500,"2,936","1,641",15,23,"1,603",5,477,4,62,6,41,155,84,748,21
120600,"3,204","1,729",19,13,"1,697",10,590,4,109,4,42,115,72,741,10
120700,"19,595","8,121",87,84,"7,950",58,"2,411",25,321,20,181,859,387,"3,568",120
120800,"2,792","1,562",17,17,"1,528",7,502,8,107,0,36,140,64,637,27
120900,"3,610","2,077",28,17,"2,032",12,786,12,118,5,53,217,139,680,10
121000,"2,914","1,490",13,14,"1,463",11,339,6,29,3,43,126,92,800,14
121100,"2,730","1,379",7,8,"1,364",4,437,5,113,1,44,144,76,536,4
121200,"6,365","3,262",35,32,"3,195",18,994,10,156,7,63,281,193,"1,444",29
121300,"14,670","6,832",82,48,"6,702",34,"2,030",23,713,15,164,828,331,"2,484",80
121400,"21,186","10,849",146,90,"10,613",69,"3,002",138,312,26,221,977,342,"5,366",160
121500,"4,203","2,298",16,20,"2,262",12,555,4,240,6,72,247,117,988,21
130100,"53,540","25,735",223,173,"25,339",187,"5,473",68,300,51,"1,230","1,979","1,182","14,610",259
130200,"17,985","7,304",60,80,"7,164",79,"1,893",19,53,20,328,461,444,"3,814",53
130300,"51,979","26,654",210,159,"26,285",188,"4,473",53,332,104,"1,580","2,074","1,166","16,068",247
130400,"144,947","76,882",981,759,"75,142",487,"17,321",145,"3,223",326,"3,988","9,069","3,737","34,694","2,152"
130500,"40,470","20,778",169,136,"20,473",145,"3,523",58,262,59,"2,317","1,654",977,"11,229",249
130600,"113,590","65,248",891,503,"63,854",468,"13,895",89,"1,393",324,"2,519","7,293","2,817","32,706","2,350"
130700,"46,493","22,037",157,146,"21,734",139,"3,713",34,247,81,"1,915","1,759",814,"12,773",259
130800,"150,948","82,271","1,063",718,"80,490",660,"21,461",107,"2,204",363,"2,614","9,505","3,777","37,119","2,680"
130900,"47,894","24,761",268,156,"24,337",171,"3,583",42,352,60,"1,727","1,935",889,"15,236",342
